date,person,miles
2024-06-24,Amanda Scott,11.7
2023-02-08,Christopher Johnson,0.7
2023-05-26,Michelle Hernandez,7.7
2023-12-30,William Lopez,15.6
2024-09-01,Matthew Rodriguez,1.7
2023-08-01,Matthew Allen,15.4
2024-09-20,Chris Ramirez,2.5
2023-11-01,Joseph White,8.3
2023-10-04,Mike Young,18.2
2023-12-28,Chris White,16.2
2024-01-01,Matthew Wright,8.2
2024-08-22,Laura Thomas,2.7
2024-01-04,Betty Lewis,5.8
2023-03-08,Laura Clark,8.6
2024-07-31,Maria Walker,3.7
2024-02-25,Kimberly Miller,4.9
2024-04-04,Robert Ramirez,7.1
2024-10-31,Chris White,16.2
2023-07-29,Elizabeth Taylor,1.2
2023-04-10,Jane Lewis,7.3
2023-07-20,John Johnson,7.2
2024-12-22,Nancy Wilson,4.2
2024-02-07,Jessica Wright,8.2
2023-04-12,Elizabeth Thompson,1.1
2024-07-29,Chris Flores,19.9
2023-10-29,John Nguyen,14.5
2023-10-28,John Brown,5.5
2023-03-14,Michael Robinson,14.4
2023-09-05,Richard Wright,17.3
2023-03-03,Lisa Martinez,3.8
2023-01-01,Matthew Robinson,6.4
2023-04-19,Lisa Clark,3.3
2024-10-06,Joseph King,2.3
2024-04-04,Emily Martinez,6.3
2023-01-07,Ashley Ramirez,1.3
2023-06-30,Chris Thompson,8.9
2023-03-24,Elizabeth Thomas,5.3
2024-07-09,James Hill,2.0
2023-09-11,Chris Thompson,16.5
2023-09-26,Christopher Jones,2.6
2024-03-30,Michael Martinez,7.8
2024-05-02,Joshua Harris,18.0
2024-12-16,Sarah Harris,7.3
2023-12-17,Joseph King,3.5
2024-07-08,Amanda Robinson,7.7
2024-11-07,Thomas Rodriguez,4.8
2023-02-01,Christopher Lee,4.5
2023-09-19,Mike Sanchez,2.7
2024-09-19,Sarah Wright,6.2
2024-06-09,Karen Williams,4.6
2023-01-16,Ashley Garcia,11.2
2023-01-28,Christopher Perez,6.7
2023-11-16,Kimberly White,5.5
2024-02-21,Mike Young,12.8
2023-03-14,Betty Allen,2.7
2023-11-03,Jane Jones,7.2
2023-07-11,James Hill,1.1
2023-08-25,Chris Williams,0.8
2024-01-20,Lisa Clark,2.9
2023-02-21,Stephanie Hill,14.9
2024-02-07,David Hill,16.0
2023-07-18,Brian Perez,2.2
2023-12-04,Elizabeth Nguyen,0.8
2024-06-15,Joseph Hernandez,3.1
2023-11-24,Joseph White,11.4
2024-09-28,Betty Rodriguez,19.9
2024-07-14,Paul Smith,9.1
2024-06-15,Maria Jackson,0.9
2024-10-24,Christopher Johnson,1.2
2024-01-20,Michael Taylor,2.5
2024-08-17,Brian Gonzalez,5.2
2024-07-01,William Wright,4.8
2024-06-17,Betty Martin,2.3
2023-07-20,Jane Lewis,4.6
2023-08-15,Mark Walker,16.0
2024-08-25,Michelle Gonzalez,5.8
2024-04-16,Christopher Hill,19.6
2023-07-14,Brian Hill,11.9
2023-07-13,Elizabeth Martin,3.7
2024-08-09,Joseph King,2.9
2023-06-19,Betty Rodriguez,17.9
2023-03-28,Stephanie Scott,6.6
2024-10-08,Jane Lewis,4.8
2024-10-29,Robert Wilson,6.0
2024-01-23,Jessica Thomas,7.5
2024-08-27,David Robinson,13.5
2023-10-20,Nancy Harris,1.7
2023-07-24,Jane Jones,11.8
2024-05-07,Matthew Robinson,6.3
2023-02-12,Michelle Ramirez,2.0
2024-11-30,Robert Johnson,0.8
2023-01-25,Karen Williams,6.7
2023-12-27,Karen Sanchez,8.8
2024-01-18,Robert Ramirez,3.5
2024-09-13,Stephanie Scott,4.5
2024-09-28,Kimberly Robinson,7.4
2023-04-29,Mike Wright,7.4
2024-11-09,David Johnson,6.5
2023-01-18,John Allen,4.8
2023-04-29,Michael Smith,3.5
2023-11-25,Joseph White,11.1
2024-06-28,Amanda Hill,2.6
2024-10-09,Mark Martinez,2.3
2023-08-02,William Lewis,4.8
2024-10-10,Chris Gonzalez,19.4
2024-01-14,Michelle Gonzalez,7.1
2024-08-07,Robert Thompson,11.6
2023-04-24,John Johnson,7.2
2023-02-21,Mark Walker,17.2
2024-03-01,Donna Young,9.2
2024-10-01,Lisa Wilson,8.4
2024-12-19,Elizabeth Thomas,7.4
2023-12-24,Michael Martinez,5.7
2023-02-23,Maria Sanchez,10.9
2024-04-23,Nancy Jackson,3.8
2024-09-19,Mark Nguyen,20.0
2023-09-19,Christopher Hill,16.3
2024-09-12,Michael Robinson,17.0
2023-05-28,Nancy Wilson,7.5
2024-03-13,Mark Moore,2.2
2023-11-07,Lisa Clark,2.8
2024-11-05,Joshua Taylor,8.9
2023-02-24,Amy King,5.3
2023-05-12,Brian Hill,12.8
2023-07-06,Mark Walker,19.3
2024-11-24,Matthew Allen,12.2
2023-12-18,Stephanie Scott,6.9
2023-01-10,Maria Williams,5.4
2023-05-03,Paul Taylor,8.3
2024-03-09,Ashley Miller,1.1
2024-10-19,John Moore,2.3
2023-02-23,Elizabeth Young,7.1
2023-10-24,Emily Perez,8.4
2024-06-21,Betty Sanchez,3.7
2023-11-06,Richard Brown,7.7
2024-12-08,Karen Smith,3.4
2024-10-05,Richard Ramirez,2.5
2024-10-01,Joshua Nguyen,11.9
2024-05-02,Betty Lewis,7.2
2023-11-18,Linda Rodriguez,11.9
2023-09-20,Emily Perez,5.0
2023-01-17,Mark Lewis,17.7
2023-05-23,Mike Thomas,3.2
2024-08-11,Michael Jones,7.5
2024-09-06,Jane Young,4.2
2023-12-25,Matthew Robinson,5.6
2024-04-18,Matthew Wright,8.9
2023-03-08,John Allen,7.0
2024-06-26,Joseph Lopez,13.8
2024-08-29,Betty Rodriguez,11.6
2024-07-04,Michelle Gonzalez,3.1
2023-04-25,Jessica Wright,8.0
2023-02-07,Kimberly Miller,1.7
2023-10-06,Laura Johnson,0.8
2024-10-04,Laura Thomas,2.8
2024-07-24,Emily Perez,8.5
2023-07-30,Richard Wright,19.1
2024-12-06,Karen Sanchez,12.4
2024-01-20,Mark Rodriguez,2.2
2023-05-04,Chris Hernandez,4.2
2024-11-08,Robert Wilson,11.3
2024-01-03,David Thomas,12.8
2023-02-11,Amanda Hill,2.0
2023-11-30,Ashley Garcia,6.8
2024-04-17,Joseph Gonzalez,14.8
2024-09-11,Michelle Ramirez,3.1
2024-11-15,Amanda Scott,9.0
2023-10-05,Donna Flores,0.5
2024-02-15,John Johnson,9.6
2023-03-23,Nancy Harris,1.1
2024-06-07,Linda Jones,8.0
2023-09-26,Christopher Perez,6.0
2023-03-05,Nancy Ramirez,8.1
2024-12-19,Chris Ramirez,3.7
2024-11-14,Chris Thompson,19.7
2024-02-25,Maria Williams,5.1
2024-03-23,Kevin Taylor,8.8
2024-11-27,Chris Ramirez,1.7
2024-02-07,Joseph Hernandez,2.7
2024-03-05,Sarah Wright,3.3
2023-10-21,Christopher Lopez,3.3
2023-06-09,Sarah King,2.6
2023-01-14,Donna White,5.0
2023-04-15,Nancy Jackson,3.5
2023-12-20,Sarah Jackson,6.4
2024-04-25,Mike King,2.3
2024-02-08,Joseph Hernandez,1.5
2023-08-22,James Lopez,13.6
2023-09-10,Charles Clark,6.8
2023-01-23,Elizabeth Sanchez,9.5
2023-08-29,Joshua Harris,17.9
2023-03-29,Joseph White,7.1
2024-06-13,Kevin White,13.5
2024-03-11,Mike Young,19.7
2024-05-20,Mark Nguyen,10.2
2023-05-18,Linda Rodriguez,5.8
2024-07-31,Mike King,1.6
2024-01-14,Robert Jones,10.6
2023-11-28,David Hill,15.1
2023-04-07,Lisa Walker,10.4
2023-12-10,Emily Jones,8.6
2024-08-16,Nancy Wilson,6.7
2023-07-02,Joseph Hernandez,2.0
2024-12-25,Jessica Wright,10.8
2024-09-22,Paul Taylor,10.4
2023-02-26,Elizabeth Wright,8.0
2024-05-30,Matthew Hill,7.5
2023-03-11,Mark Nguyen,14.9
2023-05-31,Brian Hill,17.7
2024-03-20,Joseph Gonzalez,15.4
2024-05-26,Michael Allen,1.8
2023-08-23,Joseph Lopez,19.9
2024-12-07,Mark Moore,1.3
2023-11-12,Sarah Harris,5.5
2023-11-11,Elizabeth Torres,11.3
2024-01-16,William Sanchez,6.0
2024-04-15,Karen Smith,4.1
2024-01-21,Linda Lopez,3.6
2023-08-12,Lisa Clark,3.3
2023-05-27,Thomas Rodriguez,4.4
2023-11-11,Richard Brown,5.5
2024-04-09,Sarah Jackson,4.4
2023-05-04,Jennifer Garcia,2.8
2024-06-19,Chris Flores,12.5
2024-04-12,David Thomas,13.6
2023-07-02,Betty Martin,3.4
2023-10-23,Jessica Taylor,3.6
2024-05-06,Matthew Wright,9.2
2023-11-29,Michael Taylor,3.9
2024-05-31,John Brown,11.7
2023-06-23,Karen Flores,2.0
2023-10-16,Kimberly Nguyen,2.1
2024-11-02,Michelle Gonzalez,3.4
2024-03-28,Charles Clark,6.8
2024-03-18,Robert Jones,19.8
2024-10-01,Mark Nguyen,11.3
2023-05-13,Jane Young,4.3
2024-07-08,Sarah Jackson,5.2
2023-01-22,William Smith,2.7
2023-12-09,Jane Lewis,7.5
2024-05-25,Joseph Hernandez,2.3
2024-11-06,Thomas Hill,3.5
2023-01-24,Amy Brown,8.7
2023-03-27,Charles Clark,4.4
2023-11-27,Mike Wright,7.1
2024-01-27,Nancy Jackson,5.0
2024-08-10,Nancy Wilson,3.2
2023-02-22,Stephanie Scott,3.0
2023-02-15,Karen Williams,5.0
2023-08-04,Robert Thompson,12.0
2023-10-28,Laura Clark,10.9
2023-01-04,Matthew Wright,7.3
2023-05-19,Elizabeth Thomas,7.4
2023-03-16,David Thomas,13.4
2023-03-07,Amanda Scott,10.1
2024-02-09,Charles Clark,4.5
2023-11-08,Jane Lewis,4.0
2024-11-20,John Nguyen,12.0
2023-01-25,Joseph Lopez,10.3
2023-07-13,Stephanie Hill,14.6
2023-08-06,Elizabeth Wright,6.6
2024-11-16,Nancy Harris,1.9
2024-06-17,Amy Brown,5.2
2024-09-20,Lisa Walker,18.1
2024-10-30,Charles Clark,6.4
2023-03-02,John Smith,3.5
2024-05-09,Michael Allen,0.6
2023-10-14,Amanda Hill,2.1
2023-02-05,Michael Smith,4.9
2023-05-03,Kevin Wilson,6.0
2023-03-07,John Nguyen,8.7
2023-04-04,Jennifer Robinson,1.5
2023-02-23,Ashley Miller,1.3
2023-07-30,Joseph Hernandez,2.2
2024-04-07,Karen Moore,2.3
2023-06-05,Matthew Rodriguez,0.7
2023-08-20,Brian Gonzalez,7.0
2024-08-15,Laura Young,2.1
2023-08-04,Elizabeth Martin,4.3
2024-09-25,Christopher Lee,5.3
2024-03-20,Chris Williams,2.1
2024-04-08,John Lee,6.6
2023-07-24,Mark Scott,2.6
2023-06-25,Lisa Wilson,6.2
2023-08-13,Jane Young,2.6
2023-04-02,Mark Anderson,5.1
2024-07-27,Betty Robinson,10.5
2023-04-22,David Hill,18.5
2024-03-29,Linda Lopez,2.6
2024-08-07,Matthew Allen,13.3
2023-06-09,Amanda Allen,10.4
2024-02-26,Thomas Wilson,0.6
2024-09-11,Nancy Wilson,5.5
2023-01-16,Stephanie Hill,10.2
2024-04-17,Lisa Wilson,9.3
2024-01-24,Mark Nguyen,13.3
2024-04-03,Linda Jones,11.5
2023-10-30,Maria Williams,6.0
2024-10-27,Brian Hill,19.5
2023-11-08,Sarah Harris,4.0
2023-07-27,Karen Young,7.7
2023-12-15,Brian Gonzalez,11.9
2024-07-05,Karen Smith,4.9
2023-02-12,Stephanie Scott,3.1
2023-11-11,Laura Sanchez,2.9
2023-04-18,Jessica Thomas,5.1
2023-10-28,Joseph Hernandez,2.2
2024-02-06,Michael King,7.8
2023-05-14,Betty Miller,19.6
2024-05-25,David Smith,3.2
2024-08-15,Joseph Williams,2.6
2023-06-05,Christopher Hill,12.8
2024-02-17,Michael Robinson,13.0
2024-09-24,Karen Davis,9.2
2023-07-19,William Wright,4.8
2024-08-13,Donna Young,7.6
2023-07-01,Richard Wright,10.9
2023-06-04,Chris Flores,13.7
2023-02-16,Jessica Taylor,2.3
2024-10-29,Robert Ramirez,3.9
2024-03-01,Michael Robinson,8.0
2023-12-08,Thomas Rodriguez,7.5
2023-01-19,Paul Taylor,11.5
2024-03-21,Mark Martinez,4.3
2023-04-12,Joshua Harris,14.1
2023-11-10,Lisa Walker,14.6
2024-06-03,Thomas Robinson,8.6
2024-03-28,Nancy Ramirez,16.9
2024-02-26,Stephanie Garcia,3.7
2023-01-07,Nancy Wilson,6.3
2023-08-27,Matthew Wright,7.5
2023-04-13,Ashley Ramirez,2.1
2023-05-11,Daniel Young,16.2
2023-05-07,Joshua Nguyen,17.5
2024-09-07,Stephanie Hill,9.8
2023-09-24,Joseph King,2.7
2024-04-09,Chris Thompson,19.5
2024-09-21,Christopher Perez,7.2
2024-08-08,Maria Williams,3.6
2023-06-06,Michelle Gonzalez,4.8
2023-10-19,Michael Martinez,8.9
2024-10-28,Emily Jones,7.3
2024-11-16,John Nguyen,15.3
2024-05-04,Stephanie Scott,7.5
2024-03-09,Christopher Lopez,1.7
2023-03-26,Lisa Walker,8.4
2024-02-29,Thomas Rodriguez,7.9
2023-07-02,Elizabeth Sanchez,10.2
2023-01-07,Jessica Taylor,3.0
2023-01-29,Amy King,7.6
2023-01-23,Thomas Robinson,5.1
2023-01-16,Elizabeth Martin,4.9
2023-04-20,Mike Thomas,3.0
2023-04-21,Chris Gonzalez,19.8
2024-08-02,James Hill,1.4
2023-11-06,Matthew Rodriguez,0.7
2023-01-25,John Brown,5.4
2024-11-12,Robert Johnson,1.4
2023-07-11,Elizabeth Taylor,0.8
2024-02-29,Mark Walker,11.0
2024-03-31,Nancy Wilson,4.8
2024-10-07,Brian Gonzalez,10.6
2024-05-13,David Thomas,17.4
2023-04-26,Amy Brown,11.6
2023-11-17,Donna Torres,10.3
2023-11-12,James Lopez,8.1
2024-01-13,Laura Clark,12.3
2024-04-03,William Lopez,13.3
2023-05-10,Mark Anderson,7.0
2023-03-01,Kimberly White,6.2
2023-06-15,Christopher Wilson,6.3
2023-04-13,Laura Brown,4.6
2023-10-02,Brian Hill,13.5
2024-03-29,Mike Wright,5.0
2024-12-19,Laura Young,1.2
2023-05-03,David Johnson,10.8
2024-03-10,Betty Rodriguez,12.2
2023-01-22,Charles Clark,4.6
2024-03-11,David Robinson,14.7
2024-06-24,Laura Thomas,2.3
2024-09-28,William Lewis,5.8
2024-03-30,Joseph White,7.8
2024-08-18,Nancy Ramirez,14.1
2023-12-01,Amanda Scott,7.0
2023-08-31,Karen Young,4.7
2023-06-23,Jane Young,2.8
2023-04-12,Elizabeth Thompson,1.2
2024-09-11,Emily Martinez,7.9
2023-08-01,John Johnson,10.4
2023-10-11,John Brown,9.8
2023-08-31,John Johnson,6.6
2023-08-26,Elizabeth Torres,18.8
2023-12-23,David Smith,6.0
2023-06-10,Mike Wright,5.8
2023-05-06,Maria Williams,6.7
2023-01-24,Karen Flores,2.9
2024-11-16,Mark Walker,13.1
2024-10-05,Matthew Wright,8.6
2024-04-12,Matthew Young,2.2
2023-06-01,Michelle Ramirez,4.7
2024-11-07,Laura Lewis,5.5
2023-05-19,Stephanie Davis,2.7
2024-09-05,Jennifer Garcia,1.7
2023-01-31,Sarah King,2.7
2023-01-13,John Brown,11.6
2024-07-28,Ashley Davis,11.5
2023-10-11,Betty Miller,18.8
2024-12-01,Elizabeth Thomas,6.2
2024-12-06,Jessica Taylor,4.6
2023-04-13,William Sanchez,7.0
2024-03-20,Robert Young,3.7
2024-05-24,John Nguyen,18.4
2024-09-28,Matthew Rodriguez,2.2
2023-07-29,Lisa Walker,9.2
2024-05-18,David Thomas,12.6
2023-01-08,Elizabeth Wright,6.9
2024-02-06,Amy Brown,6.9
2023-05-19,Elizabeth Martin,2.6
2024-06-01,Stephanie Scott,7.5
2023-07-03,Laura Young,0.8
2024-10-11,Jane Young,3.4
2023-08-31,Kimberly Robinson,5.1
2024-08-09,John Allen,6.7
2023-09-21,Karen Moore,1.3
2024-03-11,Maria Jackson,2.9
2023-10-16,Karen Williams,6.9
2023-09-29,Karen Williams,3.7
2023-05-13,Mark Walker,9.6
2024-01-17,Lisa Wilson,8.6
2024-05-22,William Wilson,3.3
2023-08-20,Kevin Wilson,5.1
2023-05-06,Emily Martinez,6.4
2023-09-27,James Nguyen,14.1
2023-06-16,Mark Nguyen,10.7
2024-11-05,Michelle Hernandez,3.4
2024-10-16,Jessica Taylor,3.0
2024-09-10,Chris Thompson,18.1
2024-05-08,Linda Lopez,4.7
2024-12-27,Paul Lopez,7.5
2023-05-14,Laura Clark,8.7
2024-07-12,Karen Williams,7.6
2024-12-20,Maria Williams,7.4
2024-12-21,Betty Sanchez,2.2
2024-02-06,John Smith,3.8
2024-05-21,Karen Williams,7.4
2024-06-30,Mark Torres,16.7
2023-05-17,Chris Hernandez,2.7
2023-10-25,Jennifer Garcia,3.3
2023-06-27,Amy King,11.1
2023-06-02,Amanda Scott,10.3
2023-01-25,Ashley Walker,6.7
2024-10-26,William Lopez,19.6
2024-02-14,Mark Moore,2.7
2024-12-05,Elizabeth Wright,3.5
2023-04-17,Jane Young,4.9
2024-10-27,Brian Gonzalez,8.8
2024-11-13,William Sanchez,10.2
2023-09-15,Mark Jones,11.6
2024-08-22,Joseph Gonzalez,11.7
2023-07-01,Sarah Sanchez,8.2
2024-02-29,Chris Thompson,16.5
2023-07-12,Ashley Garcia,9.8
2023-12-29,Kimberly White,4.6
2024-02-17,John Nguyen,13.9
2023-03-17,Linda Lopez,2.5
2024-03-14,Joshua Taylor,9.1
2024-11-05,Lisa Wilson,9.3
2023-01-03,Maria Jackson,2.9
2023-01-22,Michael Smith,7.2
2024-09-23,Mark Nguyen,9.4
2023-05-22,Matthew Wright,5.9
2023-11-20,Chris Hernandez,2.0
2023-10-29,Brian Perez,2.8
2024-03-31,Elizabeth Thompson,1.4
2024-08-20,Betty Smith,2.2
2024-07-25,Christopher Johnson,1.2
2024-12-24,Richard Brown,10.4
2023-07-19,David Johnson,11.7
2023-04-15,David Robinson,12.1
2023-04-19,Kimberly Nguyen,1.6
2024-06-19,Joseph Lopez,12.5
2024-09-14,Lisa Wilson,11.5
2024-06-25,Stephanie Davis,1.2
2023-07-17,Maria Williams,6.6
2023-12-09,Donna White,3.5
2023-01-10,Karen Torres,3.8
2023-12-16,Karen Williams,6.3
2024-10-14,Laura Sanchez,3.9
2024-05-27,Robert Johnson,1.2
2023-03-22,Elizabeth Thompson,2.6
2024-01-28,Laura Sanchez,1.5
2023-11-18,Jessica Wright,8.8
2024-01-04,Elizabeth Sanchez,14.0
2023-01-05,Maria Williams,5.0
2024-11-20,Mike Young,15.1
2023-05-07,James Lopez,17.6
2024-06-13,Christopher Thomas,5.5
2024-01-09,Amanda Robinson,4.5
2023-12-19,Jane Lewis,5.8
2024-08-29,Jessica Taylor,3.6
2024-01-13,Jessica Wright,17.9
2024-06-28,Betty Robinson,7.5
2023-12-13,David Hill,16.4
2023-09-08,Stephanie Hill,19.3
2024-04-25,Joshua Harris,8.5
2024-06-29,John Brown,8.5
2024-07-02,Stephanie Davis,0.9
2023-09-02,Joseph King,4.3
2024-10-27,Mark Anderson,5.4
2024-09-08,Paul Taylor,10.1
2024-07-03,Robert White,6.4
2024-10-10,Matthew Robinson,6.1
2023-06-28,Kimberly Nguyen,2.4
2023-10-24,Matthew Young,1.0
2023-06-21,James Hill,0.5
2024-06-18,Michael Jones,6.1
2024-06-25,Nancy Jackson,4.8
2024-06-23,Thomas Wilson,3.0
2024-09-18,Mark Moore,2.3
2024-09-06,Donna Young,5.2
2024-03-13,Richard Ramirez,1.7
2023-01-24,Lisa Clark,2.8
2023-03-08,Michael Allen,1.5
2024-11-24,Lisa Wilson,9.8
2023-02-01,John Lee,11.1
2024-02-21,Lisa Walker,10.7
2024-10-10,Ashley Davis,10.9
2024-01-31,Joseph Hernandez,2.3
2023-12-15,William Taylor,10.0
2023-04-29,Nancy Wilson,5.9
2024-11-07,Amanda Hill,2.3
2023-02-05,Robert Ramirez,5.6
2024-04-22,David Thomas,13.1
2023-04-28,Matthew Allen,10.8
2024-09-01,David Smith,4.7
2023-03-18,Laura Johnson,1.7
2024-02-03,Thomas Hill,6.9
2023-07-16,Emily Perez,5.3
2023-06-24,Laura Sanchez,4.8
2024-10-09,Kevin Taylor,16.6
2023-08-27,Ashley Davis,11.2
2024-09-20,Elizabeth Taylor,1.6
2024-02-19,Christopher Johnson,2.3
2024-07-23,James Hill,2.7
2024-01-15,Nancy Jackson,2.4
2024-01-02,John Nguyen,12.7
2024-07-30,James Hill,3.0
2024-09-21,Mike Young,16.4
2024-03-14,Chris Gonzalez,19.2
2024-08-10,Richard Smith,3.7
2024-12-18,Donna White,4.6
2023-11-17,Elizabeth Torres,12.3
2023-12-05,Karen Young,4.8
2024-11-26,Robert Ramirez,5.7
2023-03-15,Daniel Davis,11.3
2024-10-21,Christopher Lee,4.9
2024-09-12,Joseph Lopez,14.9
2024-06-29,Karen Flores,2.8
2024-03-03,Chris White,10.5
2024-07-02,Sarah Jackson,6.3
2024-03-01,Elizabeth Sanchez,10.8
2023-11-23,Mike Thomas,5.9
2023-10-17,Mike Thomas,7.1
2024-08-11,Joshua Nguyen,17.5
2024-10-19,Amanda Allen,5.7
2024-01-09,Nancy Harris,2.5
2024-12-27,Maria Williams,7.3
2024-05-10,Joseph Gonzalez,8.5
2023-06-28,Jessica Wright,11.2
2023-04-05,Matthew Rodriguez,1.5
2023-02-28,Mark Torres,19.5
2024-07-21,Charles Clark,7.7
2024-01-27,Matthew Hill,6.3
2023-01-13,Maria Jackson,1.8
2024-09-29,Maria Jackson,3.0
2024-03-06,Mark Scott,4.2
2023-03-20,William Sanchez,5.1
2023-05-26,Michael Martinez,8.9
2024-07-07,Lisa Jones,18.5
2023-09-15,Mike White,7.3
2023-11-13,Joseph Lopez,14.7
2024-12-15,Karen Sanchez,8.6
2023-05-21,Chris Flores,15.3
2023-05-28,Kimberly Nguyen,1.4
2024-09-10,Stephanie Thompson,3.1
2023-05-09,Richard Brown,6.2
2024-12-01,Laura Clark,17.2
2024-12-20,Michael Thomas,14.5
2024-04-06,David Thomas,17.8
2024-09-05,Betty Lewis,8.0
2023-10-31,Joseph Williams,1.9
2023-02-16,Mike Thomas,4.7
2024-04-01,James Hill,1.7
2023-04-15,Joseph Lopez,14.9
2023-08-23,Mark Jones,7.7
2023-03-22,Stephanie Thompson,1.6
2023-01-03,Joshua Harris,12.4
2024-05-20,Joseph Williams,4.2
2023-12-07,Christopher Lee,8.0
2024-03-11,Michael King,7.8
2024-04-26,Linda Rodriguez,8.0
2023-06-10,James Lopez,10.0
2024-02-06,Karen Sanchez,16.5
2024-01-13,John Lee,6.2
2024-07-27,Christopher Thomas,5.5
2023-02-03,Joseph Gonzalez,16.1
2023-09-30,Joseph Williams,2.0
2023-04-23,Daniel Young,10.9
2023-07-23,Betty Sanchez,3.9
2024-06-18,Mike White,3.3
2023-09-06,Mike Thomas,5.7
2024-03-14,Elizabeth Nguyen,0.8
2023-06-23,Elizabeth Wright,7.9
2024-11-10,Michael Jones,3.3
2024-11-28,Jessica Taylor,2.5
2023-06-11,Betty Robinson,8.6
2024-10-07,Mark Torres,8.0
2023-05-02,Matthew Robinson,5.2
2024-02-20,Karen Sanchez,13.8
2023-06-26,Nancy Jackson,2.4
2024-11-10,Amy King,9.9
2023-10-24,John Moore,3.9
2024-10-05,Michael Martinez,11.6
2024-12-21,Elizabeth Young,7.2
2024-09-23,Mike Sanchez,1.6
2023-01-21,John Allen,7.0
2023-01-28,Joseph King,2.9
2024-01-24,Michelle Ramirez,2.1
2024-11-03,John Brown,10.2
2024-04-08,Joseph White,6.2
2024-05-07,Mike Thomas,3.2
2024-06-16,Kimberly Robinson,4.2
2024-12-21,Amanda Scott,10.6
2023-08-15,Matthew Rodriguez,1.0
2023-11-30,Betty Rodriguez,13.1
2023-05-26,Mark Rodriguez,2.1
2024-10-22,Jessica Taylor,3.5
2024-02-06,William Wilson,4.9
2024-02-21,Betty Martin,1.7
2024-10-14,Jane Lewis,4.1
2024-05-06,Michael Thomas,13.4
2023-11-28,Kevin Wilson,11.0
2023-02-15,Paul Smith,12.0
2023-04-07,William Smith,1.6
2023-10-08,Karen Flores,0.8
2023-09-26,Maria Jackson,2.4
2023-12-05,John Smith,6.7
2024-09-15,Karen Moore,1.4
2024-07-11,Mark Nguyen,16.6
2023-10-08,Joshua Taylor,8.6
2023-02-21,Robert Young,3.7
2023-04-05,Joseph Lopez,9.9
2024-02-28,William Torres,6.8
2023-09-30,Robert Jones,18.2
2024-06-03,Maria Williams,7.4
2023-09-04,Ashley Ramirez,2.2
2023-11-27,Stephanie Scott,3.0
2024-04-22,Sarah Harris,3.2
2024-03-22,William Wright,1.5
2024-09-01,Karen Flores,0.6
2024-06-19,Maria Jackson,1.7
2023-01-07,Joseph Gonzalez,9.0
2024-09-15,Christopher Johnson,0.9
2024-11-23,Ashley Garcia,8.7
2024-06-03,Elizabeth Thompson,1.5
2023-03-15,Karen Sanchez,13.7
2024-05-21,Kevin White,9.3
2023-01-19,Karen Moore,1.5
2024-01-27,James Hill,2.8
2023-03-16,Matthew Young,0.7
2023-08-30,Mark Moore,2.2
2024-12-20,William Taylor,6.9
2024-10-04,Laura Thomas,2.8
2024-11-10,Mike King,1.7
2023-06-23,Amanda Scott,10.2
2023-01-24,Donna Torres,5.1
2023-09-22,Christopher Lee,5.2
2023-04-07,Michael Jones,4.9
2023-04-06,Christopher Lopez,4.0
2023-10-07,Betty Miller,14.1
2023-01-04,Brian Gonzalez,11.7
2024-05-11,Karen Moore,2.0
2023-05-16,Michael King,9.4
2023-01-19,Elizabeth Martin,1.8
2024-02-25,Mike King,2.0
2023-05-17,John Moore,2.1
2024-11-20,Maria Sanchez,9.4
2023-05-08,Emily Jones,11.5
2023-02-24,Ashley Ramirez,2.6
2024-04-28,Ashley Miller,0.5
2024-11-14,Stephanie Scott,7.8
2023-09-18,Nancy Harris,1.2
2024-02-15,Kimberly Nguyen,2.0
2023-01-23,Karen Smith,2.1
2023-04-22,Michael Allen,1.3
2023-06-18,Ashley Miller,0.8
2024-02-09,Mike Williams,3.6
2024-07-30,Laura Clark,17.8
2024-10-11,Amy Brown,11.7
2023-06-26,Thomas Rodriguez,7.3
2023-04-26,Ashley Walker,11.8
2024-02-24,Laura Sanchez,4.3
2024-12-21,Amanda Scott,7.3
2024-07-18,Elizabeth Wright,5.4
2023-02-26,Chris Flores,8.5
2024-10-13,Laura Clark,19.6
2024-10-31,Elizabeth Martin,4.1
2024-08-24,Christopher Hill,8.4
2023-02-11,Laura Lewis,5.1
2023-10-20,Robert Wilson,9.0
2023-08-31,Stephanie Scott,3.4
2024-07-15,Thomas Wilson,2.2
2023-05-15,Stephanie Thompson,4.0
2024-02-24,William Smith,2.4
2024-04-19,Karen Moore,0.9
2023-03-01,Christopher Jones,4.5
2024-05-17,Maria Walker,2.8
2023-02-02,John Nguyen,10.7
2024-10-02,Donna Torres,11.6
2024-01-14,David Smith,3.2
2023-02-26,James Nguyen,9.9
2023-09-16,Michael Allen,2.7
2024-02-29,William Smith,2.5
2023-01-16,Sarah Jackson,4.3
2023-10-25,Ashley Ramirez,0.9
2024-06-02,Michael Robinson,9.0
2024-07-08,Kimberly Robinson,5.3
2023-11-24,Mike Young,11.4
2024-09-26,Christopher Jones,4.8
2023-11-25,Stephanie Thompson,2.8
2023-10-04,Emily Perez,11.6
2024-12-24,Matthew Hill,11.3
2024-06-25,Mark Lewis,12.7
2023-01-19,Thomas Robinson,5.9
2024-04-04,Mike Williams,7.5
2023-11-19,Thomas Hill,5.4
2023-05-19,Richard Brown,8.7
2024-03-08,Michael Thomas,19.4
2024-04-19,Matthew Wright,5.4
2024-10-03,Christopher Lee,4.0
